tahun,bulan,kode_prov_baru,kode_kab_baru,jenis_akomodasi,kelas_akomodasi,room,bed,room_yesterday,room_in,room_out,wna_yesterday,wni_yesterday,wna_in,wni_in,wna_out,wni_out
2023,1,33,08,2,4,1333,2666,141,133,141,0,282,0,266,0,282
2023,1,33,09,2,4,2480,4960,207,202,207,0,414,0,404,0,414
2023,1,33,11,2,4,6200,11997,1406,1349,1406,0,2841,0,2723,0,2841
2023,1,33,12,2,4,3162,6324,1112,548,548,0,2236,0,1102,0,1096
2023,1,33,13,2,4,4578,7580,3227,3232,3227,0,6152,0,6161,0,6152
2023,1,33,14,2,4,4309,7719,619,585,607,0,1328,0,1079,0,1110
2023,1,33,15,2,4,4402,7657,973,863,872,0,1814,0,1594,0,1612
2023,1,33,16,2,4,3782,7564,100,100,100,0,200,0,200,0,200
2023,1,33,17,2,4,3224,6448,180,181,180,0,308,0,312,0,308
2023,1,33,18,2,4,8308,15190,1132,956,938,0,2284,0,1894,0,1846
2023,1,33,19,2,4,6200,8060,1172,700,672,0,2344,0,1400,0,1344
2023,1,33,20,2,4,2666,5332,1341,797,790,12,2670,4,1590,4,1576
2023,1,33,22,2,4,28612,55730,3119,2998,3119,0,6239,0,5996,0,6239
2023,1,33,24,2,4,7365,12090,1093,1060,1093,0,2185,0,2120,0,2185
2023,1,33,25,2,4,1550,2976,108,109,108,0,216,0,218,0,216
2023,1,33,26,2,4,1643,3286,411,411,411,0,822,0,822,0,822
2023,1,33,27,2,4,6860,13719,1050,1048,1050,0,2118,0,2112,0,2118
2023,1,33,28,2,4,3782,7564,612,506,612,0,1224,0,1012,0,1224
2023,1,33,71,2,4,3410,6386,1315,1269,1315,0,2567,0,2538,0,2567
2023,1,33,72,2,4,9424,18848,1626,1380,1482,0,3252,0,2760,0,2964
2023,1,33,73,2,4,2759,5518,565,544,565,0,1130,0,1088,0,1130
2023,1,33,74,2,4,9844,19685,3471,3426,3471,0,6941,0,6851,0,6941
2023,1,33,75,2,4,3100,5642,1614,1570,1614,0,3228,0,3140,0,3228
2023,1,33,76,2,4,1395,2697,256,255,256,0,512,0,510,0,512
2023,1,53,01,1,1,341,620,56,17,16,102,0,30,0,28,0
2023,1,53,71,1,1,2633,3813,341,149,156,0,391,0,188,0,195
2023,1,53,15,1,2,1054,2108,376,160,162,229,459,88,218,98,219
2023,1,53,71,1,2,14198,22382,3196,2383,2419,13,3572,10,3003,10,3028
2023,1,53,07,1,3,3441,5146,208,99,97,0,304,0,142,0,140
2023,1,53,10,1,3,3565,6107,891,589,612,117,1511,71,1011,68,1073
2023,1,53,15,1,3,8401,14446,1915,1035,1073,157,3599,100,1942,98,2015
2023,1,53,71,1,3,24717,37284,9109,6920,7134,869,18056,440,11058,433,11169
2023,1,53,15,1,4,8370,18042,2266,1491,1519,1636,3562,883,2364,911,2361
2023,1,53,71,1,4,8277,12090,4202,2958,2938,644,5269,276,4020,293,4180
2023,1,53,01,1,5,1457,3038,757,204,244,1138,365,261,140,315,169
2023,1,53,15,1,5,17582,33170,3554,1528,1646,2662,4188,1163,1621,1190,1831
2023,1,65,71,1,1,6231,9703,3621,2426,2371,0,10770,0,3889,0,3456
2023,1,65,71,1,2,3565,5425,633,637,633,0,894,0,898,0,894
2023,1,65,02,1,4,2728,4340,1268,566,574,0,2536,0,1132,0,1148
2023,1,65,71,1,4,2511,5022,1025,739,740,288,1385,223,973,218,1025
2023,1,71,01,2,1,744,899,36,36,36,0,57,0,57,0,57
2023,1,71,03,2,1,310,558,20,20,20,0,32,0,32,0,32
2023,1,71,04,2,1,124,155,32,10,9,0,32,0,10,0,9
2023,1,71,07,2,1,93,186,6,6,6,0,8,0,8,0,8
2023,1,71,09,2,1,611,672,57,65,57,0,128,0,128,0,128
2023,1,71,10,2,1,527,527,43,43,43,0,60,0,60,0,60
2023,1,71,11,2,1,1364,1364,100,63,63,0,162,0,95,0,95
2023,1,71,71,2,1,1736,2573,617,420,407,20,897,6,717,6,715
2023,1,71,72,2,1,2046,2294,152,143,147,0,241,0,143,0,147
2023,1,71,73,2,1,1085,1519,0,21,21,10,32,10,32,10,32
2023,1,71,74,2,1,372,744,15,14,14,0,15,0,14,0,14
2023,1,71,01,2,2,682,682,21,21,21,0,40,0,40,0,40
2023,1,71,02,2,2,899,1302,32,42,41,0,82,0,92,0,82
2023,1,71,03,2,2,1364,1767,141,141,141,0,213,0,213,0,213
2023,1,71,04,2,2,1271,1488,67,38,35,0,112,0,55,0,52
2023,1,71,05,2,2,1085,1178,179,171,179,0,340,0,324,0,340
2023,1,71,06,2,2,1395,1860,282,273,280,0,304,0,273,0,279
2023,1,71,07,2,2,2449,3875,414,359,356,77,489,75,463,77,421
2023,1,71,08,2,2,465,930,25,32,45,0,109,0,100,0,77
2023,1,71,09,2,2,496,713,24,56,54,0,103,0,107,0,103
2023,1,71,10,2,2,1457,1457,138,138,138,0,235,0,235,0,235
2023,1,71,11,2,2,1302,1302,28,26,26,0,32,0,28,0,28
2023,1,71,71,2,2,6293,7440,919,702,731,0,1678,0,1230,0,1272
2023,1,71,72,2,2,713,806,100,33,30,0,120,0,34,0,30
2023,1,71,73,2,2,4588,5983,159,211,211,0,498,0,501,0,498
2023,1,71,74,2,2,3286,4526,803,724,745,0,1229,0,1117,0,1155
2023,1,71,01,2,3,806,961,35,35,35,0,61,0,61,0,61
2023,1,71,03,2,3,2015,2759,30,30,30,0,46,0,46,0,46
2023,1,71,04,2,3,837,1023,24,16,16,0,38,0,25,0,25
2023,1,71,05,2,3,1565,1364,117,114,117,0,234,0,228,0,234
2023,1,71,08,2,3,930,1302,408,103,86,0,837,0,199,0,158
2023,1,71,09,2,3,899,961,114,122,114,0,244,0,244,0,244
2023,1,71,71,2,3,15407,21328,2823,2454,2490,0,4402,0,3678,0,3735
2023,1,71,72,2,3,1705,2015,316,214,225,0,569,0,329,0,341
2023,1,71,73,2,3,1984,3720,781,677,673,16,1467,4,1337,4,1338
2023,1,71,74,2,3,1984,2325,510,481,506,0,580,0,550,0,572
2023,1,71,71,2,4,20607,28923,6761,5744,5259,171,11035,44,11778,33,8586
2023,1,71,73,2,4,1705,1798,312,286,312,3,520,3,520,3,520
2023,1,74,02,1,1,589,775,156,139,0,0,0,0,156,0,139
2023,1,74,05,1,1,1488,2418,358,329,358,0,716,0,658,0,716
2023,1,74,72,1,1,1023,2046,374,240,245,0,748,0,480,0,490
2023,1,74,71,1,2,9610,12369,2308,1684,1705,0,3057,0,2657,0,2686
2023,1,74,04,1,3,2883,4433,2024,852,851,11,3433,11,1475,11,1498
2023,1,74,07,1,3,2960,3317,17,12,12,0,34,0,24,0,24
2023,1,74,71,1,3,26987,45264,7583,6519,6627,0,14137,0,10826,0,11006
2023,1,74,72,1,3,2666,4092,940,898,940,5,2195,5,1791,5,1835
2023,1,74,71,1,4,11377,16585,7151,5099,5126,19,12936,4,8810,6,8967
2023,1,75,01,1,1,1209,1736,70,70,70,0,140,0,140,0,140
2023,1,75,71,1,2,3720,5983,1452,1216,1210,10,3203,8,2003,8,2005
2023,1,75,71,1,3,4690,6975,1617,1197,1263,12,2902,8,1992,8,2101
2023,1,75,71,1,4,8618,13732,2589,1759,1823,1062,4187,137,3103,57,3286
2023,1,75,01,2,1,1488,1488,396,402,396,0,561,0,564,0,561
2023,1,75,02,2,1,1983,1983,226,213,211,0,480,0,347,0,323
2023,1,75,03,2,1,1629,3100,878,906,878,0,1755,0,1810,0,1755
2023,1,75,71,2,1,1821,1987,157,109,117,48,227,5,200,0,217
2023,1,75,01,2,2,4910,7707,748,539,541,0,1604,0,1170,0,1252
2023,1,75,02,2,2,4098,4522,589,431,420,0,921,0,535,0,509
2023,1,75,03,2,2,6325,11399,1078,1515,1461,0,3383,0,3203,0,3092
2023,1,75,05,2,2,1271,1125,214,221,214,0,427,0,441,0,427
2023,1,75,71,2,2,13720,16113,2240,1622,1624,0,4118,0,2882,0,2821
2023,1,75,01,2,3,806,992,110,113,110,0,166,0,170,0,166
2023,1,75,03,2,3,1860,3720,218,228,218,0,350,0,368,0,350
2023,1,75,71,2,3,8147,10602,2271,1760,1740,56,4080,4,2859,2,2815
2023,1,75,71,2,4,2697,4030,292,101,130,0,691,0,202,0,215
2023,1,76,02,1,1,1488,2418,174,177,174,0,342,0,348,0,342
2023,1,76,01,1,2,961,1209,55,56,55,0,94,0,88,0,94
2023,1,76,04,1,2,1240,1364,81,70,81,0,162,0,140,0,162
2023,1,76,02,1,3,1116,1705,420,432,420,0,830,0,854,0,830
2023,1,76,04,1,4,2480,3937,931,453,645,0,1612,4,791,2,1129
2023,1,76,02,2,1,961,1395,169,168,169,0,297,0,295,0,297
2023,1,76,03,2,1,1785,2520,52,33,33,0,69,0,45,0,45
2023,1,76,04,2,1,837,1116,226,122,115,0,444,0,248,0,231
2023,1,76,05,2,1,155,279,26,26,26,0,43,0,43,0,43
2023,1,76,01,2,2,1674,2573,367,383,367,0,728,0,738,0,728
